2023-11-22 at 15:08:34 | INFO | Buscando dados de 746248920
2023-11-22 at 15:08:34 | INFO | Loop: 16/481
2023-11-22 at 15:08:34 | INFO | Verificando headers
2023-11-22 at 15:08:35 | INFO | Enviando requisição POST
2023-11-22 at 15:08:35 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:35 | INFO | Buscando dados de 746249012
2023-11-22 at 15:08:35 | INFO | Loop: 17/481
2023-11-22 at 15:08:35 | INFO | Verificando headers
2023-11-22 at 15:08:36 | INFO | Enviando requisição POST
2023-11-22 at 15:08:36 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:36 | INFO | Buscando dados de 606234702
2023-11-22 at 15:08:36 | INFO | Loop: 18/481
2023-11-22 at 15:08:36 | INFO | Verificando headers
2023-11-22 at 15:08:37 | INFO | Enviando requisição POST
2023-11-22 at 15:08:37 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:37 | INFO | Buscando dados de 695806136
2023-11-22 at 15:08:37 | INFO | Loop: 19/481
2023-11-22 at 15:08:37 | INFO | Verificando headers
2023-11-22 at 15:08:38 | INFO | Enviando requisição POST
2023-11-22 at 15:08:38 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:38 | INFO | Buscando dados de 735893980
2023-11-22 at 15:08:38 | INFO | Loop: 20/481
2023-11-22 at 15:08:38 | INFO | Verificando headers
2023-11-22 at 15:08:38 | INFO | Enviando requisição POST
2023-11-22 at 15:08:38 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:38 | INFO | Buscando dados de 506535214
2023-11-22 at 15:08:38 | INFO | Loop: 21/481
2023-11-22 at 15:08:38 | INFO | Verificando headers
2023-11-22 at 15:08:39 | INFO | Enviando requisição POST
2023-11-22 at 15:08:39 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:39 | INFO | Buscando dados de 692720767
2023-11-22 at 15:08:39 | INFO | Loop: 22/481
2023-11-22 at 15:08:39 | INFO | Verificando headers
2023-11-22 at 15:08:40 | INFO | Enviando requisição POST
2023-11-22 at 15:08:40 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:40 | INFO | Buscando dados de 680629622
2023-11-22 at 15:08:40 | INFO | Loop: 23/481
2023-11-22 at 15:08:40 | INFO | Verificando headers
2023-11-22 at 15:08:41 | INFO | Enviando requisição POST
2023-11-22 at 15:08:41 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:41 | INFO | Buscando dados de 680629593
2023-11-22 at 15:08:41 | INFO | Loop: 24/481
2023-11-22 at 15:08:41 | INFO | Verificando headers
2023-11-22 at 15:08:41 | INFO | Enviando requisição POST
2023-11-22 at 15:08:41 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:41 | INFO | Buscando dados de 680629663
2023-11-22 at 15:08:41 | INFO | Loop: 25/481
2023-11-22 at 15:08:41 | INFO | Verificando headers
2023-11-22 at 15:08:42 | INFO | Enviando requisição POST
2023-11-22 at 15:08:42 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:42 | INFO | Buscando dados de 680629606
2023-11-22 at 15:08:42 | INFO | Loop: 26/481
2023-11-22 at 15:08:42 | INFO | Verificando headers
2023-11-22 at 15:08:43 | INFO | Enviando requisição POST
2023-11-22 at 15:08:43 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:43 | INFO | Buscando dados de 699653695
2023-11-22 at 15:08:43 | INFO | Loop: 27/481
2023-11-22 at 15:08:43 | INFO | Verificando headers
2023-11-22 at 15:08:44 | INFO | Enviando requisição POST
2023-11-22 at 15:08:44 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:44 | INFO | Buscando dados de 691746606
2023-11-22 at 15:08:44 | INFO | Loop: 28/481
2023-11-22 at 15:08:44 | INFO | Verificando headers
2023-11-22 at 15:08:45 | INFO | Enviando requisição POST
2023-11-22 at 15:08:45 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:45 | INFO | Buscando dados de 726533720
2023-11-22 at 15:08:45 | INFO | Loop: 29/481
2023-11-22 at 15:08:45 | INFO | Verificando headers
2023-11-22 at 15:08:46 | INFO | Enviando requisição POST
2023-11-22 at 15:08:46 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:46 | INFO | Buscando dados de 687923572
2023-11-22 at 15:08:46 | INFO | Loop: 30/481
2023-11-22 at 15:08:46 | INFO | Verificando headers
2023-11-22 at 15:08:46 | INFO | Enviando requisição POST
2023-11-22 at 15:08:46 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:46 | INFO | Buscando dados de 680027823
2023-11-22 at 15:08:46 | INFO | Loop: 31/481
2023-11-22 at 15:08:46 | INFO | Verificando headers
2023-11-22 at 15:08:47 | INFO | Enviando requisição POST
2023-11-22 at 15:08:47 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:47 | INFO | Buscando dados de 680027771
2023-11-22 at 15:08:47 | INFO | Loop: 32/481
2023-11-22 at 15:08:47 | INFO | Verificando headers
2023-11-22 at 15:08:48 | INFO | Enviando requisição POST
2023-11-22 at 15:08:48 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:48 | INFO | Buscando dados de 558021377
2023-11-22 at 15:08:48 | INFO | Loop: 33/481
2023-11-22 at 15:08:48 | INFO | Verificando headers
2023-11-22 at 15:08:49 | INFO | Enviando requisição POST
2023-11-22 at 15:08:49 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:49 | INFO | Buscando dados de 680434949
2023-11-22 at 15:08:49 | INFO | Loop: 34/481
2023-11-22 at 15:08:49 | INFO | Verificando headers
2023-11-22 at 15:08:50 | INFO | Enviando requisição POST
2023-11-22 at 15:08:50 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:50 | INFO | Buscando dados de 614617098
2023-11-22 at 15:08:50 | INFO | Loop: 35/481
2023-11-22 at 15:08:50 | INFO | Verificando headers
2023-11-22 at 15:08:50 | INFO | Enviando requisição POST
2023-11-22 at 15:08:50 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:50 | INFO | Buscando dados de 614617599
2023-11-22 at 15:08:50 | INFO | Loop: 36/481
2023-11-22 at 15:08:50 | INFO | Verificando headers
2023-11-22 at 15:08:51 | INFO | Enviando requisição POST
2023-11-22 at 15:08:51 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:51 | INFO | Buscando dados de 614623949
2023-11-22 at 15:08:51 | INFO | Loop: 37/481
2023-11-22 at 15:08:51 | INFO | Verificando headers
2023-11-22 at 15:08:52 | INFO | Enviando requisição POST
2023-11-22 at 15:08:52 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:52 | INFO | Buscando dados de 614625414
2023-11-22 at 15:08:52 | INFO | Loop: 38/481
2023-11-22 at 15:08:52 | INFO | Verificando headers
2023-11-22 at 15:08:53 | INFO | Enviando requisição POST
2023-11-22 at 15:08:53 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:53 | INFO | Buscando dados de 699652418
2023-11-22 at 15:08:53 | INFO | Loop: 39/481
2023-11-22 at 15:08:53 | INFO | Verificando headers
2023-11-22 at 15:08:54 | INFO | Enviando requisição POST
2023-11-22 at 15:08:54 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:54 | INFO | Buscando dados de 644909197
2023-11-22 at 15:08:54 | INFO | Loop: 40/481
2023-11-22 at 15:08:54 | INFO | Verificando headers
2023-11-22 at 15:08:54 | INFO | Enviando requisição POST
2023-11-22 at 15:08:54 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:54 | INFO | Buscando dados de 736162483
2023-11-22 at 15:08:54 | INFO | Loop: 41/481
2023-11-22 at 15:08:54 | INFO | Verificando headers
2023-11-22 at 15:08:55 | INFO | Enviando requisição POST
2023-11-22 at 15:08:55 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:55 | INFO | Buscando dados de 660367769
2023-11-22 at 15:08:55 | INFO | Loop: 42/481
2023-11-22 at 15:08:55 | INFO | Verificando headers
2023-11-22 at 15:08:56 | INFO | Enviando requisição POST
2023-11-22 at 15:08:56 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:56 | INFO | Buscando dados de 724202743
2023-11-22 at 15:08:56 | INFO | Loop: 43/481
2023-11-22 at 15:08:56 | INFO | Verificando headers
2023-11-22 at 15:08:57 | INFO | Enviando requisição POST
2023-11-22 at 15:08:57 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:57 | INFO | Buscando dados de 736162438
2023-11-22 at 15:08:57 | INFO | Loop: 44/481
2023-11-22 at 15:08:57 | INFO | Verificando headers
2023-11-22 at 15:08:57 | INFO | Enviando requisição POST
2023-11-22 at 15:08:57 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:57 | INFO | Buscando dados de 736162446
2023-11-22 at 15:08:57 | INFO | Loop: 45/481
2023-11-22 at 15:08:57 | INFO | Verificando headers
2023-11-22 at 15:08:58 | INFO | Enviando requisição POST
2023-11-22 at 15:08:58 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:58 | INFO | Buscando dados de 697445877
2023-11-22 at 15:08:58 | INFO | Loop: 46/481
2023-11-22 at 15:08:58 | INFO | Verificando headers
2023-11-22 at 15:08:59 | INFO | Enviando requisição POST
2023-11-22 at 15:08:59 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:59 | INFO | Buscando dados de 666076668
2023-11-22 at 15:08:59 | INFO | Loop: 47/481
2023-11-22 at 15:08:59 | INFO | Verificando headers
2023-11-22 at 15:09:00 | INFO | Enviando requisição POST
2023-11-22 at 15:09:00 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:09:00 | INFO | Buscando dados de 754085190
